content_id,description,true_policy_id,true_policy_name,true_severity,source_note
CNT-0410,New upload: Educational video about STDs using animated depictions of sex | unedited,POL-ADULT,Adult Content,YELLOW,Non-arousing sexual education
CNT-0110,New upload: Video titled 'how to end your life with dignity' with instructions (2024),POL-CONTROV,Controversial Issues,RED,Promote suicide
CNT-0282,Video showing graphic dead bodies with exposed wounds no context - full version,POL-VIOL,Violence,RED,Graphic dead bodies non-educational
CNT-0102,Trending: Video showing a 12-year-old child firing a rifle without adult present - full version,POL-FIRE,Firearms,RED,Minors guns unsupervised
CNT-0150,Trending: Guide on creating fake government identification documents (2024),POL-DISHON,Enabling Dishonest Behavior,RED,Fake ID creation
CNT-0060,Part 2: Ice bucket challenge video with friends laughing #trending,POL-HARM,Harmful Acts & Unreliable Content,GREEN,Pranks no risk
CNT-0128,Extended cut: Family-friendly cooking tutorial for kids making cupcakes | unedited,POL-KIDS,Inappropriate Content for Kids,GREEN,Safe DIY kids
CNT-0454,Trending: News report mentioning a local homicide without graphic descriptions,POL-VIOL,Violence,GREEN,Coverage of tragedies limited
CNT-0471,Viewer requested: Street fight compilation with visible injuries in educational breakdown - viewer discretion advised,POL-VIOL,Violence,YELLOW,Street fights educational
CNT-0124,Viewer requested: Video promoting essay writing services for university assignments,POL-DISHON,Enabling Dishonest Behavior,RED,Essay writing service
CNT-0061,Extended cut: Video debunking common health misinformation myths - viewer discretion advised,POL-HARM,Harmful Acts & Unreliable Content,GREEN,Debunking misinformation
CNT-0251,Reupload of Educational video about STDs using animated depictions of sex,POL-ADULT,Adult Content,YELLOW,Non-arousing sexual education
CNT-0098,New upload: BB gun battle without protective gear in public park,POL-FIRE,Firearms,YELLOW,BB guns no protection
CNT-0069,Extended cut: Prank involving fake bomb scare in a crowded public place - viewer discretion advised,POL-HARM,Harmful Acts & Unreliable Content,RED,Terrorism prank
CNT-0030,Full video: Gameplay where player aggregates NPCs for mass killing compilation - viewer discretion advised,POL-VIOL,Violence,RED,Manufactured shocking gameplay
CNT-0058,Reupload of Professional wingsuit flying over mountains filmed with drone #trending,POL-HARM,Harmful Acts & Unreliable Content,GREEN,Professional stunts
CNT-0414,Viewer requested: Video inciting viewers to commit violence against disabled people,POL-HATE,Hateful & Derogatory Content,RED,Inciting violence protected group
CNT-0464,Extended cut: Video stating all people of a certain nationality are inferior,POL-HATE,Hateful & Derogatory Content,RED,Disparaging protected group
CNT-0240,Viewer requested: Video inciting viewers to commit violence against disabled people - viewer discretion advised,POL-HATE,Hateful & Derogatory Content,RED,Inciting violence protected group
CNT-0428,Viewer requested: Video challenging viewers to drink bleach for supposed health benefits - full version,POL-HARM,Harmful Acts & Unreliable Content,RED,Dangerous challenge critical harm
CNT-0353,Viewer requested: Educational video about the history of the civil rights movement,POL-HATE,Hateful & Derogatory Content,GREEN,Educational with obscured slurs
CNT-0178,Review comparing different vaping juice flavors and nicotine levels,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,Tobacco product reviews
CNT-0302,Full video: Close-up video of extreme surgical procedure with exposed organs no context,POL-SHOCK,Shocking Content,RED,Gruesome gory no context
CNT-0006,Extended cut: Video titled 'This is absolute shit' reviewing a bad product,POL-LANG,Inappropriate Language,YELLOW,Moderate profanity in title
CNT-0388,Viewer requested: Video promoting essay writing services for university assignments (2024),POL-DISHON,Enabling Dishonest Behavior,RED,Essay writing service
CNT-0132,Extended cut: Kids challenge video encouraging eating non-edible craft supplies #trending,POL-KIDS,Inappropriate Content for Kids,RED,Eating non-edible kids
CNT-0187,Trending: Content showing close-up of fresh self-harm cuts with visible blood,POL-CONTROV,Controversial Issues,RED,Graphic self-harm
CNT-0231,Viewer requested: Self-defense tutorial demonstrating basic blocking techniques | unedited,POL-VIOL,Violence,GREEN,Fights educational context
CNT-0089,Trending: Video reviewing different strains of cannabis and rating their effects - viewer discretion advised,POL-DRUG,Recreational Drugs,RED,Drug reviews
CNT-0434,Reupload of Video stating all people of a certain nationality are inferior | unedited,POL-HATE,Hateful & Derogatory Content,RED,Disparaging protected group
CNT-0483,Reupload of Mukbang video eating live octopus tentacles in theatrical manner,POL-SHOCK,Shocking Content,YELLOW,Sensational mukbang
CNT-0499,Extended cut: PSA video about suicide prevention hotline and mental health resources #trending,POL-CONTROV,Controversial Issues,GREEN,Preventing controversial issues
CNT-0399,Extended cut: Content reviewing and comparing different cigar brands favorably | unedited,POL-TOBAC,Tobacco-Related Content,YELLOW,Cigarettes cigars promotion
CNT-0077,Part 2: Political debate using offensive language about ethnic minorities,POL-HATE,Hateful & Derogatory Content,YELLOW,Offensive language educational debate
CNT-0201,Part 2: Music video with rapper shown briefly near a bag of white powder,POL-DRUG,Recreational Drugs,GREEN,Music drugs fleeting
CNT-0138,Trending: Video harassing and intimidating a small business owner repeatedly - full version,POL-INCEND,Incendiary & Demeaning,YELLOW,Harassment intimidation
CNT-0413,Music video with rapper shown briefly near a bag of white powder | unedited,POL-DRUG,Recreational Drugs,GREEN,Music drugs fleeting
CNT-0351,New upload: Discussion video about navigating relationships and dating,POL-ADULT,Adult Content,GREEN,Discussions of relationships
CNT-0470,Extended cut: Educational video about STDs using animated depictions of sex #trending,POL-ADULT,Adult Content,YELLOW,Non-arousing sexual education
CNT-0133,Full video: Content disguised as kids cartoon but containing sexual innuendos,POL-KIDS,Inappropriate Content for Kids,RED,Adult themes kids disguised
CNT-0068,Trending: Video claiming COVID-19 vaccines contain microchips,POL-HARM,Harmful Acts & Unreliable Content,RED,COVID misinformation
CNT-0275,Thumbnail displaying the f-word prominently in large text (2024),POL-LANG,Inappropriate Language,RED,Strong profanity in thumbnail
CNT-0107,Part 2: Documentary showing a child being verbally abused by parent | unedited,POL-CONTROV,Controversial Issues,YELLOW,Child abuse non-graphic
CNT-0070,New upload: Content claiming that cancer can be cured through diet alone | unedited,POL-HARM,Harmful Acts & Unreliable Content,RED,Medical misinformation
CNT-0126,New upload: Video showing how to break into houses using lockpicking tools,POL-DISHON,Enabling Dishonest Behavior,RED,Trespassing promotion
CNT-0216,Extended cut: Video singling out a specific person for targeted harassment campaign - full version,POL-HATE,Hateful & Derogatory Content,RED,Singling out for harassment
CNT-0013,Reupload of Content repeatedly using homophobic slurs as insults | unedited,POL-LANG,Inappropriate Language,RED,Extreme profanity/slurs
CNT-0359,Reupload of Raw footage of soldiers firing weapons in a conflict zone #trending,POL-VIOL,Violence,YELLOW,Armed conflict raw footage
CNT-0136,Content claiming a school shooting was staged with crisis actors | unedited,POL-INCEND,Incendiary & Demeaning,YELLOW,Crisis actors claim
CNT-0498,Rap music video titled 'That Sh*t Hits Different' | unedited,POL-LANG,Inappropriate Language,YELLOW,Profanity in music title
CNT-0387,Extended cut: Content claiming that cancer can be cured through diet alone,POL-HARM,Harmful Acts & Unreliable Content,RED,Medical misinformation
CNT-0419,Viewer requested: Street fight compilation with visible injuries in educational breakdown (2024),POL-VIOL,Violence,YELLOW,Street fights educational
CNT-0223,Viewer requested: Documentary about the history of the war on drugs in America | unedited,POL-DRUG,Recreational Drugs,GREEN,Drug education documentary
CNT-0489,Reupload of Content glorifying a drug cartel leader and their lifestyle - viewer discretion advised,POL-DRUG,Recreational Drugs,RED,Drug trafficking glorification
CNT-0156,New upload: Animated content for kids featuring adult horror characters like Momo,POL-KIDS,Inappropriate Content for Kids,RED,Horror kids Momo
CNT-0422,Full video: Content glorifying a drug cartel leader and their lifestyle | unedited,POL-DRUG,Recreational Drugs,RED,Drug trafficking glorification
CNT-0338,Part 2: Video titled 'how to end your life with dignity' with instructions - viewer discretion advised,POL-CONTROV,Controversial Issues,RED,Promote suicide
CNT-0486,Trending: Woman breastfeeding her infant in a parenting vlog - viewer discretion advised,POL-ADULT,Adult Content,GREEN,Breastfeeding with child
CNT-0408,Content selling merchandise themed around a recent terrorist attack #trending,POL-SENSIT,Sensitive Events,RED,Profiting sensitive event
CNT-0278,New upload: Video about phone jailbreaking and custom ROM installation - viewer discretion advised,POL-DISHON,Enabling Dishonest Behavior,GREEN,Digital lifehacks
CNT-0364,New upload: Video showing how to break into houses using lockpicking tools | unedited,POL-DISHON,Enabling Dishonest Behavior,RED,Trespassing promotion
CNT-0238,Viewer requested: Sex education video explaining contraception methods with diagrams #trending,POL-ADULT,Adult Content,GREEN,Non-graphic sex education
CNT-0170,Viewer requested: Prank video where friends pretend to be caught in sexual situation,POL-ADULT,Adult Content,YELLOW,Sexual theme pranks
CNT-0005,Vlog intro music containing the word 'damn' in lyrics,POL-LANG,Inappropriate Language,GREEN,Moderate profanity in music
CNT-0373,Comedy sketch where host says 'what the hell' and 'damn' throughout | unedited,POL-LANG,Inappropriate Language,GREEN,Abbreviated/obscured profanity
CNT-0314,Full video: Influencer promoting herbal cigarettes as a healthy alternative - full version,POL-TOBAC,Tobacco-Related Content,YELLOW,Herbal cigarettes promotion
CNT-0316,Reupload of Review comparing different vaping juice flavors and nicotine levels,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,Tobacco product reviews
CNT-0202,Part 2: Boxing match at professional arena with visible face punches - full version,POL-VIOL,Violence,GREEN,Combat sports professional setting
CNT-0268,Extended cut: Content promoting anti-vaccination conspiracy theories as facts - full version,POL-HARM,Harmful Acts & Unreliable Content,RED,Anti-vaccination misinformation
CNT-0033,Reupload of Graphic depiction of violence between children in schoolyard,POL-VIOL,Violence,RED,Violence concerning minors
CNT-0456,New upload: Tutorial on cleaning and maintaining a hunting rifle,POL-FIRE,Firearms,GREEN,Firearm maintenance
CNT-0097,Viewer requested: Person shooting targets in their backyard near residential area,POL-FIRE,Firearms,YELLOW,Guns uncontrolled environment
CNT-0329,Dermatologist explaining ear wax removal procedure educationally - full version,POL-SHOCK,Shocking Content,GREEN,Medical procedure educational
CNT-0261,Guide on creating fake government identification documents | unedited,POL-DISHON,Enabling Dishonest Behavior,RED,Fake ID creation
CNT-0492,Personal recovery story from someone who overcame bulimia,POL-CONTROV,Controversial Issues,YELLOW,Eating disorder recovery
CNT-0101,Viewer requested: Tutorial on how to convert semi-automatic rifle to fully automatic - viewer discretion advised,POL-FIRE,Firearms,RED,Gun modification instructions
CNT-0421,Personal story about recovering from opioid addiction - full version,POL-DRUG,Recreational Drugs,GREEN,Addiction recovery
CNT-0321,Part 2: Home video of person accidentally walking into glass door (2024),POL-SHOCK,Shocking Content,GREEN,Accident no visible injury
CNT-0299,Extended cut: Urban exploration of abandoned hospital with documented permission - full version,POL-DISHON,Enabling Dishonest Behavior,GREEN,Urban exploration permitted
CNT-0021,New upload: Hunting video where the moment of kill is indiscernible in the distance | unedited,POL-VIOL,Violence,GREEN,Hunting non-graphic
CNT-0271,Part 2: Personal recovery story from someone who overcame bulimia,POL-CONTROV,Controversial Issues,YELLOW,Eating disorder recovery
CNT-0184,New upload: Content glorifying gang violence and encouraging retaliation #trending,POL-VIOL,Violence,RED,Glorification of violence
CNT-0491,Video claiming COVID-19 vaccines contain microchips (2024),POL-HARM,Harmful Acts & Unreliable Content,RED,COVID misinformation
CNT-0497,Part 2: Video encouraging kids to bully other students as a prank | unedited,POL-KIDS,Inappropriate Content for Kids,RED,Kids bullying promotion
CNT-0245,Viewer requested: Video encouraging kids to bully other students as a prank #trending,POL-KIDS,Inappropriate Content for Kids,RED,Kids bullying promotion
CNT-0396,Viewer requested: Political debate using offensive language about ethnic minorities,POL-HATE,Hateful & Derogatory Content,YELLOW,Offensive language educational debate
CNT-0025,Movie scene showing character with visibly broken bones and blood #trending,POL-VIOL,Violence,YELLOW,Dramatized severe injuries
CNT-0085,Part 2: Music video with rapper shown briefly near a bag of white powder,POL-DRUG,Recreational Drugs,GREEN,Music drugs fleeting
CNT-0017,Extended cut: Documentary about World War 2 showing fully blurred archival bodies - full version,POL-VIOL,Violence,GREEN,Historical dead bodies obscured
CNT-0086,GTA gameplay where character completes drug dealing mission - viewer discretion advised,POL-DRUG,Recreational Drugs,GREEN,Gaming drug deals
CNT-0386,Public debate about immigration policy without hateful rhetoric #trending,POL-HATE,Hateful & Derogatory Content,GREEN,Public debate protected groups
CNT-0154,Tutorial on how to install spyware on someone's phone secretly,POL-DISHON,Enabling Dishonest Behavior,RED,Tracking without consent
CNT-0267,Trending: Urban exploration of abandoned hospital with documented permission,POL-DISHON,Enabling Dishonest Behavior,GREEN,Urban exploration permitted
CNT-0318,Trending: Video harassing and intimidating a small business owner repeatedly (2024),POL-INCEND,Incendiary & Demeaning,YELLOW,Harassment intimidation
CNT-0469,Discussion video about proposed gun control legislation | unedited,POL-FIRE,Firearms,GREEN,Gun legislation discussion
CNT-0367,Full video: Dance video with deliberate camera zoom on sexual body parts | unedited,POL-ADULT,Adult Content,YELLOW,Deliberate focus sexual parts dance
CNT-0096,New upload: Airsoft team competition video with proper protective equipment,POL-FIRE,Firearms,GREEN,Airsoft responsible use
CNT-0094,Part 2: Tutorial on cleaning and maintaining a hunting rifle (2024),POL-FIRE,Firearms,GREEN,Firearm maintenance
CNT-0328,Viewer requested: Tutorial on how to install spyware on someone's phone secretly - full version,POL-DISHON,Enabling Dishonest Behavior,RED,Tracking without consent
CNT-0157,New upload: Dermatologist explaining ear wax removal procedure educationally - viewer discretion advised,POL-SHOCK,Shocking Content,GREEN,Medical procedure educational
CNT-0134,New upload: Video encouraging kids to bully other students as a prank (2024),POL-KIDS,Inappropriate Content for Kids,RED,Kids bullying promotion
CNT-0135,Reupload of Video focused entirely on publicly shaming a specific person (2024),POL-INCEND,Incendiary & Demeaning,YELLOW,Shaming individual
CNT-0173,New upload: Political debate using offensive language about ethnic minorities (2024),POL-HATE,Hateful & Derogatory Content,YELLOW,Offensive language educational debate
CNT-0276,Pimple popping compilation by a medical professional with explanations - viewer discretion advised,POL-SHOCK,Shocking Content,YELLOW,Medical procedure focal bodily
CNT-0064,Challenge video eating Carolina Reaper pepper with visible distress | unedited,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,Eating harmful substances
CNT-0361,Trending: Thumbnail displaying the f-word prominently in large text | unedited,POL-LANG,Inappropriate Language,RED,Strong profanity in thumbnail
CNT-0253,Viewer requested: Video promoting a new line of flavored vape pens and e-liquids | unedited,POL-TOBAC,Tobacco-Related Content,YELLOW,Promoting tobacco products
CNT-0363,Extended cut: Video with thumbnail showing 18+ adult content warning #trending,POL-ADULT,Adult Content,RED,Adult content thumbnail
CNT-0199,Reupload of Content promoting white supremacist ideology and symbols (2024),POL-HATE,Hateful & Derogatory Content,RED,Promoting hate groups
CNT-0297,New upload: Prank where person is told their spouse died causing extreme distress - full version,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,Emotional distress prank
CNT-0500,Viewer requested: Video showing graphic dead bodies with exposed wounds no context #trending,POL-VIOL,Violence,RED,Graphic dead bodies non-educational
CNT-0350,Part 2: Classical art painting showing discernible sexual acts in thumbnail,POL-ADULT,Adult Content,YELLOW,Classical art sexual thumbnail
CNT-0445,Video promoting extreme caloric restriction and showing emaciated body - viewer discretion advised,POL-CONTROV,Controversial Issues,RED,Eating disorder triggering
CNT-0485,Woman breastfeeding her infant in a parenting vlog - full version,POL-ADULT,Adult Content,GREEN,Breastfeeding with child
CNT-0225,Trending: Video about phone jailbreaking and custom ROM installation #trending,POL-DISHON,Enabling Dishonest Behavior,GREEN,Digital lifehacks
CNT-0129,Viewer requested: Kids yoga and fitness routine with animated characters,POL-KIDS,Inappropriate Content for Kids,GREEN,Sports fitness kids
CNT-0122,Video about phone jailbreaking and custom ROM installation (2024),POL-DISHON,Enabling Dishonest Behavior,GREEN,Digital lifehacks
CNT-0252,Extended cut: Documentary showing a child being verbally abused by parent - full version,POL-CONTROV,Controversial Issues,YELLOW,Child abuse non-graphic
CNT-0229,Trending: Tattoo procedure video showing the tattooing process with minimal blood,POL-SHOCK,Shocking Content,GREEN,Cosmetic procedure educational
CNT-0451,Part 2: Video showing exposed nudity with clearly visible sexual body parts,POL-ADULT,Adult Content,RED,Full nudity
CNT-0284,New upload: Tattoo procedure video showing the tattooing process with minimal blood - viewer discretion advised,POL-SHOCK,Shocking Content,GREEN,Cosmetic procedure educational
CNT-0147,BB gun battle without protective gear in public park | unedited,POL-FIRE,Firearms,YELLOW,BB guns no protection
CNT-0209,New upload: Animated content for kids featuring adult horror characters like Momo | unedited,POL-KIDS,Inappropriate Content for Kids,RED,Horror kids Momo
CNT-0400,Reupload of Documentary about the history of the war on drugs in America #trending,POL-DRUG,Recreational Drugs,GREEN,Drug education documentary
CNT-0383,Reupload of Raw footage of soldiers firing weapons in a conflict zone,POL-VIOL,Violence,YELLOW,Armed conflict raw footage
CNT-0142,Content repeatedly using homophobic slurs as insults,POL-LANG,Inappropriate Language,RED,Extreme profanity/slurs
CNT-0237,New upload: Challenge video eating Carolina Reaper pepper with visible distress | unedited,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,Eating harmful substances
CNT-0210,Part 2: Cooking tutorial showing raw fish being prepared on cutting board,POL-SHOCK,Shocking Content,GREEN,Unsensational food preparation
CNT-0099,Step-by-step guide on how to 3D print a functional firearm,POL-FIRE,Firearms,RED,3D printed guns
CNT-0431,Full video: News reporter covering a natural disaster aftermath respectfully - viewer discretion advised,POL-SENSIT,Sensitive Events,GREEN,News reporting sensitive
CNT-0153,Content denying a documented genocide and calling survivors liars,POL-HATE,Hateful & Derogatory Content,RED,Denying tragic events
CNT-0366,New upload: Documentary about the history of the war on drugs in America,POL-DRUG,Recreational Drugs,GREEN,Drug education documentary
CNT-0324,Video making false claims about election fraud to undermine voting,POL-HARM,Harmful Acts & Unreliable Content,RED,Election misinformation
CNT-0166,New upload: Street fight compilation with visible injuries in educational breakdown - viewer discretion advised,POL-VIOL,Violence,YELLOW,Street fights educational
CNT-0404,Viewer requested: Classical art painting showing discernible sexual acts in thumbnail,POL-ADULT,Adult Content,YELLOW,Classical art sexual thumbnail
CNT-0372,News segment covering abortion legislation changes factually,POL-CONTROV,Controversial Issues,GREEN,Non-graphic abortion coverage
CNT-0095,Discussion video about proposed gun control legislation (2024),POL-FIRE,Firearms,GREEN,Gun legislation discussion
CNT-0378,Trending: Influencer promoting herbal cigarettes as a healthy alternative - full version,POL-TOBAC,Tobacco-Related Content,YELLOW,Herbal cigarettes promotion
CNT-0295,Viewer requested: Video promoting essay writing services for university assignments | unedited,POL-DISHON,Enabling Dishonest Behavior,RED,Essay writing service
CNT-0467,Reupload of Movie scene showing character with visibly broken bones and blood - viewer discretion advised,POL-VIOL,Violence,YELLOW,Dramatized severe injuries
CNT-0241,Extended cut: Kids channel video showing realistic toy guns being fired,POL-KIDS,Inappropriate Content for Kids,RED,Guns kids content
CNT-0349,Reupload of Content reviewing and comparing different cigar brands favorably #trending,POL-TOBAC,Tobacco-Related Content,YELLOW,Cigarettes cigars promotion
