content_id,description,llm_policy_id,llm_policy_name,llm_severity_tier,llm_confidence,llm_reasoning
CNT-0477,Content glorifying a drug cartel leader and their lifestyle | unedited,POL-KIDS,Inappropriate Content for Kids,RED,HIGH,"Glorifying a drug cartel leader and their criminal lifestyle promotes negative and dangerous behavior, making it highly inappropriate for children."
CNT-0411,Full video: Video claiming COVID-19 vaccines contain microchips - viewer discret,POL-HARM,Harmful Acts & Unreliable Content,RED,HIGH,"The content promotes misinformation about COVID-19 vaccines by claiming they contain microchips, which falls under the 'COVID misinformation' criteria for the RED tier."
CNT-0002,Part 2: Music video with backing track containing bleeped profanity (2024),POL-LANG,Inappropriate Language,GREEN,HIGH,"The content description explicitly states 'bleeped profanity', which is classified as obscured profanity and falls under the green tier for advertiser eligibility."
CNT-0023,Full video: Gaming video with graphic beheading scene in the thumbnail - viewer ,POL-VIOL,Violence,YELLOW,HIGH,"The content features a graphic beheading scene from a gaming video prominently displayed in the thumbnail, which directly matches the 'graphic game violence in thumbnail' criterion for the YELLOW tier."
CNT-0449,Romantic comedy scene with characters kissing passionately - full version,POL-ADULT,Adult Content,GREEN,HIGH,"The content describes a romantic comedy scene with passionate kissing, which falls under the 'Romance or kissing' example in the GREEN tier for Adult Content."
CNT-0207,Full video: First person account describing child abuse in graphic sexual detail,POL-VIOL,Violence,RED,HIGH,"The content describes child abuse in graphic sexual detail, which falls under ultra graphic violent acts and violence targeting minors."
CNT-0207,Full video: First person account describing child abuse in graphic sexual detail,POL-ADULT,Adult Content,RED,HIGH,"The description explicitly mentions 'graphic sexual detail' related to child abuse, which constitutes highly explicit sexual content."
CNT-0207,Full video: First person account describing child abuse in graphic sexual detail,POL-SHOCK,Shocking Content,RED,HIGH,A first-person account describing child abuse in graphic sexual detail is inherently highly shocking and gruesome content.
CNT-0207,Full video: First person account describing child abuse in graphic sexual detail,POL-CONTROV,Controversial Issues,RED,HIGH,"The content provides a descriptive account of child abuse with graphic sexual detail, which is explicitly categorized as RED tier for controversial issues."
CNT-0207,Full video: First person account describing child abuse in graphic sexual detail,POL-KIDS,Inappropriate Content for Kids,RED,HIGH,Content describing child abuse in graphic sexual detail is profoundly inappropriate and harmful for children.
CNT-0052,Part 2: Pimple popping compilation by a medical professional with explanations,POL-SHOCK,Shocking Content,GREEN,HIGH,"The content describes a medical procedure (pimple popping) presented by a medical professional with explanations, which falls under 'Medical or cosmetic procedures that are educational' in the green tier for shocking content."
CNT-0028,New upload: Video showing graphic dead bodies with exposed wounds no context - v,POL-VIOL,Violence,RED,HIGH,"The content explicitly describes 'graphic dead bodies with exposed wounds no context,' which directly matches the RED tier for graphic dead bodies in a non-educational video."
CNT-0028,New upload: Video showing graphic dead bodies with exposed wounds no context - v,POL-SHOCK,Shocking Content,RED,HIGH,"The description of 'graphic dead bodies with exposed wounds no context' aligns with the RED tier for highly shocking, gruesome, and gory presentations without context."
CNT-0120,Part 2: Ethical hacking tutorial explaining penetration testing methodology #tre,POL-DISHON,Enabling Dishonest Behavior,GREEN,HIGH,"The content describes an 'ethical hacking tutorial explaining penetration testing methodology,' which is explicitly listed as an ads-eligible example under the 'Enabling Dishonest Behavior' policy."
CNT-0309,New upload: Vlog intro music containing the word 'damn' in lyrics - full version,POL-LANG,Inappropriate Language,GREEN,HIGH,"The content description explicitly states the use of the word 'damn' in the lyrics, which is categorized as moderate profanity in the GREEN tier for Inappropriate Language."
CNT-0123,Viewer requested: Tutorial on how to install spyware on someone's phone secretly,POL-DISHON,Enabling Dishonest Behavior,RED,HIGH,"The content provides a tutorial on how to secretly install spyware, which constitutes teaching unauthorized access and hacking to track or monitor people, explicitly listed as RED tier violations."
CNT-0443,New upload: Music video featuring choreographed hip-hop dancing in a studio #tre,NONE,No policy violation,GREEN,HIGH,The content description 'Music video featuring choreographed hip-hop dancing in a studio' does not indicate any violation of YouTube's advertiser-friendly content policies.
CNT-0235,Reupload of Thumbnail showing graphic image of self-harm scars for awareness vid,POL-CONTROV,Controversial Issues,RED,HIGH,"The thumbnail displays a graphic image of self-harm scars, which directly aligns with the RED tier's 'Graphic self-harm with visible injuries' for controversial issues."
CNT-0235,Reupload of Thumbnail showing graphic image of self-harm scars for awareness vid,POL-SHOCK,Shocking Content,YELLOW,MEDIUM,"The graphic image of self-harm scars in the thumbnail is shocking content; however, the video's stated purpose for 'awareness' provides general context, fitting the YELLOW tier for graphic images with context."
CNT-0200,Reupload of Thumbnail with text overlay reading 'BULL***T' | unedited,POL-LANG,Inappropriate Language,YELLOW,HIGH,"The thumbnail contains moderate profanity ('BULL***T'), which falls under the yellow tier for profanity in titles or thumbnails."
CNT-0335,Reupload of Documentary showing a child being verbally abused by parent,POL-CONTROV,Controversial Issues,RED,HIGH,"The content explicitly shows a child being verbally abused, which falls under descriptive child abuse content, a highly sensitive and controversial issue."
CNT-0335,Reupload of Documentary showing a child being verbally abused by parent,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,HIGH,"The documentary depicts a child experiencing distress due to verbal abuse from a parent, which constitutes showing harm or distress in a non-professional setting."
CNT-0335,Reupload of Documentary showing a child being verbally abused by parent,POL-INCEND,Incendiary & Demeaning,YELLOW,HIGH,"The verbal abuse directed at a child by a parent is inherently demeaning and insulting, focusing on shaming an individual."
CNT-0458,New upload: Video harassing and intimidating a small business owner repeatedly |,POL-HATE,Hateful & Derogatory Content,RED,HIGH,"The video depicts repeated harassment and intimidation of an individual, which constitutes 'Hate or harassment towards individuals or groups' and 'Malicious personal attacks' under this policy."
CNT-0458,New upload: Video harassing and intimidating a small business owner repeatedly |,POL-INCEND,Incendiary & Demeaning,YELLOW,HIGH,"The content directly involves harassing and intimidating an individual repeatedly, which is explicitly listed as a YELLOW tier violation for 'Content that harasses, intimidates, or bullies'."
CNT-0008,Reupload of Rap music video titled 'That Sh*t Hits Different' (2024),POL-LANG,Inappropriate Language,YELLOW,HIGH,"The title of the rap music video contains moderate profanity ('Sh*t'), which is explicitly categorized under the YELLOW tier for profanity in titles of music content."
CNT-0478,Reupload of Video making false claims about election fraud to undermine voting,POL-HARM,Harmful Acts & Unreliable Content,RED,HIGH,"The content makes false claims about election fraud to undermine voting, which falls under the RED tier for promoting election misinformation and unreliable content."
CNT-0144,Trending: Video debunking common health misinformation myths | unedited,POL-HARM,Harmful Acts & Unreliable Content,GREEN,HIGH,"The content explicitly states it is 'debunking common health misinformation myths,' which aligns with the GREEN tier for 'Debunking misinformation' under this policy."
CNT-0185,Classical art painting showing discernible sexual acts in thumbnail,POL-ADULT,Adult Content,YELLOW,HIGH,"The content explicitly describes classical art showing discernible sexual acts in the thumbnail, which directly aligns with the 'Classical art displaying intercourse in thumbnails' criterion for the YELLOW tier."
CNT-0246,Part 2: Parkour video on top of skyscrapers without safety equipment | unedited,POL-HARM,Harmful Acts & Unreliable Content,YELLOW,HIGH,"The content describes parkour on skyscrapers without safety equipment, which constitutes a high-risk activity performed in a non-professional environment."
CNT-0246,Part 2: Parkour video on top of skyscrapers without safety equipment | unedited,POL-DISHON,Enabling Dishonest Behavior,RED,HIGH,"Performing parkour on top of skyscrapers without permission strongly implies trespassing, which falls under content promoting unauthorized access or trespassing."
CNT-0072,Viewer requested: News report covering discrimination against a religious minori,POL-HATE,Hateful & Derogatory Content,GREEN,HIGH,"The content is a news report covering discrimination against a religious minority, which aligns with the GREEN tier for 'News reports on discrimination'."
CNT-0072,Viewer requested: News report covering discrimination against a religious minori,POL-CONTROV,Controversial Issues,GREEN,HIGH,"The content is described as a news report covering discrimination, which is a controversial issue presented in a non-graphic news context, fitting the GREEN tier."
CNT-0256,Extended cut: Video titled 'This is absolute shit' reviewing a bad product | une,POL-LANG,Inappropriate Language,YELLOW,HIGH,"The content title 'This is absolute shit' contains moderate profanity ('shit') in the title, which falls under the YELLOW tier."
CNT-0368,Part 2: Animated educational video teaching kids about stranger danger #trending,NONE,No Policy Violation,GREEN,HIGH,"The content is an animated educational video teaching kids about stranger danger, which promotes positive behavior and safety awareness for children and does not violate any advertiser-friendly policies."
CNT-0106,Reupload of Brief mention 'next week we discuss declining suicide rates' in outr,POL-CONTROV,Controversial Issues,GREEN,HIGH,"The content briefly mentions discussing 'declining suicide rates' in the outro, which falls under non-graphic discussions of controversial issues, aligning with the green tier."
CNT-0106,Reupload of Brief mention 'next week we discuss declining suicide rates' in outr,POL-SENSIT,Sensitive Events,GREEN,HIGH,"Discussing 'declining suicide rates' is a discussion about a sensitive event (loss of life/tragedy). The brief mention and topic of 'declining' rates suggest a non-exploitative discussion, fitting the green tier."
CNT-0402,Brief mention 'next week we discuss declining suicide rates' in outro - full ver,POL-CONTROV,Controversial Issues,GREEN,HIGH,"The content includes a brief, non-graphic mention of 'declining suicide rates' in the outro, which falls under fleeting non-graphic references to controversial issues."
CNT-0402,Brief mention 'next week we discuss declining suicide rates' in outro - full ver,POL-SENSIT,Sensitive Events,GREEN,HIGH,"The content briefly mentions 'declining suicide rates' as a topic for future discussion, which is a discussion about a sensitive event and not exploitative."
CNT-0342,Video featuring sex toys being demonstrated and reviewed,POL-ADULT,Adult Content,RED,HIGH,"The content explicitly features 'sex toys or devices' being demonstrated and reviewed, which is listed under the RED tier for Adult Content."
CNT-0342,Video featuring sex toys being demonstrated and reviewed,POL-KIDS,Inappropriate Content for Kids,RED,HIGH,"Content featuring sex toys is an adult theme and is highly inappropriate for children, aligning with the RED tier for Inappropriate Content for Kids."
CNT-0007,Thumbnail with text overlay reading 'BULL***T',POL-LANG,Inappropriate Language,YELLOW,HIGH,"The thumbnail contains moderate profanity ('BULL***T'), which is explicitly categorized under the YELLOW tier for Inappropriate Language when present in a thumbnail."
CNT-0139,Viewer requested: Video promoting a new line of flavored vape pens and e-liquids,POL-TOBAC,Tobacco-Related Content,YELLOW,HIGH,"The content explicitly promotes a new line of flavored vape pens and e-liquids, which directly falls under the 'Content promoting tobacco and tobacco-related products' category for a YELLOW severity tier."
CNT-0242,Viewer requested: Influencer promoting herbal cigarettes as a healthy alternativ,POL-TOBAC,Tobacco-Related Content,YELLOW,HIGH,"The content explicitly describes an influencer promoting herbal cigarettes, which are listed as a tobacco-related product in the policy, warranting a YELLOW classification for promotion."
CNT-0242,Viewer requested: Influencer promoting herbal cigarettes as a healthy alternativ,POL-HARM,Harmful Acts & Unreliable Content,RED,HIGH,"Promoting herbal cigarettes as a 'healthy alternative' constitutes health misinformation that can lead to physical harm, aligning with the RED tier for denying medical conditions or promoting anti-vaccination."
CNT-0242,Viewer requested: Influencer promoting herbal cigarettes as a healthy alternativ,POL-KIDS,Inappropriate Content for Kids,RED,HIGH,"Promoting smoking, even herbal cigarettes, as a 'healthy alternative' is a negative behavior that is highly inappropriate and potentially harmful for a child audience, fitting the RED tier for promoting negative behavior for kids."
CNT-0389,Content selling merchandise themed around a recent terrorist attack (2024),POL-SENSIT,Sensitive Events,RED,HIGH,"The content is selling merchandise themed around a recent terrorist attack, which directly falls under the 'Selling products exploiting tragedies' criteria in the RED tier of the Sensitive Events policy."
CNT-0164,Viewer requested: Political debate using offensive language about ethnic minorit,POL-LANG,Inappropriate Language,RED,HIGH,"The content description explicitly states 'offensive language about ethnic minorities,' which strongly suggests the use of hateful language or slurs, classifying it as RED."
CNT-0164,Viewer requested: Political debate using offensive language about ethnic minorit,POL-HATE,Hateful & Derogatory Content,RED,HIGH,"A political debate using 'offensive language about ethnic minorities' directly constitutes statements disparaging protected groups, which falls under the RED tier for hateful content."
CNT-0164,Viewer requested: Political debate using offensive language about ethnic minorit,POL-INCEND,Incendiary & Demeaning,YELLOW,HIGH,"The use of 'offensive language about ethnic minorities' in a political debate is inherently demeaning and insulting towards a group, fitting the YELLOW tier for incendiary content."
CNT-0410,New upload: Educational video about STDs using animated depictions of sex | uned,POL-ADULT,Adult Content,YELLOW,HIGH,"The content is an educational video about STDs that includes animated depictions of sex, which falls under the 'non-arousing sexual education with animated sex acts' description in the YELLOW tier."
CNT-0110,New upload: Video titled 'how to end your life with dignity' with instructions (,POL-CONTROV,Controversial Issues,RED,HIGH,"The video explicitly provides instructions on 'how to end your life,' which directly promotes self-harm and suicide, a clear violation of the RED tier for Controversial Issues."
CNT-0110,New upload: Video titled 'how to end your life with dignity' with instructions (,POL-HARM,Harmful Acts & Unreliable Content,RED,HIGH,"The content provides instructions for a critically harmful act (ending one's life), which falls under glorifying dangerous acts and challenges causing critical harm."
CNT-0282,Video showing graphic dead bodies with exposed wounds no context - full version,POL-VIOL,Violence,RED,HIGH,"The content explicitly describes 'graphic dead bodies with exposed wounds no context', which directly aligns with the RED tier for graphic dead bodies in non-educational videos."
CNT-0282,Video showing graphic dead bodies with exposed wounds no context - full version,POL-SHOCK,Shocking Content,RED,HIGH,"The description of 'graphic dead bodies with exposed wounds no context' constitutes highly shocking, gruesome, and gory content presented without context, fitting the RED tier for shocking content."
