content_id,description,disagreement_type,is_disagreement,severity_gap,human_review_priority,llm_policy,llm_severity,llm_confidence,llm_reasoning,rules_policy,rules_severity
CNT-0230,Reupload of Video containing racial slurs used casually in conversation | unedit,Both classifiers agree,False,0,0.0,Inappropriate Language,RED,HIGH,"The content explicitly contains racial slurs, which are classified as extreme profanity and hateful language, warranting",Inappropriate Language,RED
CNT-0490,Documentary about the history of the war on drugs in America (2024),"LLM finds violation, rules miss it",True,1,0.8,Recreational Drugs,GREEN,HIGH,"The content is a documentary about the history of the war on drugs, which aligns with the green tier for educational con",None,N/A
CNT-0345,Reupload of Commentary video where profanity is used in most sentences throughou,"LLM finds violation, rules miss it",True,2,1.6,Inappropriate Language,YELLOW,HIGH,"The content description explicitly states that profanity is used in most sentences throughout the video, which directly ",None,N/A
CNT-0459,Part 2: Discussion video about proposed gun control legislation - viewer discret,"LLM finds violation, rules miss it",True,2,1.6,Controversial Issues,YELLOW,MEDIUM,Gun control legislation is a controversial issue. The 'viewer discretion advised' suggests the discussion may delve into,None,N/A
CNT-0043,Trending: Video showing exposed nudity with clearly visible sexual body parts - ,Both classifiers agree,False,0,0.0,Adult Content,RED,HIGH,"The content description explicitly states 'exposed nudity with clearly visible sexual body parts,' which directly matche",Adult Content,RED
CNT-0092,Content glorifying a drug cartel leader and their lifestyle,"LLM finds violation, rules miss it",True,3,2.4,Recreational Drugs,RED,HIGH,Content glorifying a drug cartel leader directly promotes or glorifies drug trafficking organizations and their illegal ,None,N/A
CNT-0332,Self-defense tutorial demonstrating basic blocking techniques (2024),"LLM finds violation, rules miss it",True,1,0.8,Violence,GREEN,HIGH,"The content is a self-defense tutorial demonstrating basic blocking techniques, which is educational and non-graphic, al",None,N/A
CNT-0277,Reupload of Educational video about STDs using animated depictions of sex (2024),"LLM finds violation, rules miss it",True,2,1.6,Adult Content,YELLOW,HIGH,"The content is an educational video about STDs that includes animated depictions of sex, which falls under the yellow ti",None,N/A
CNT-0108,Full video: Personal recovery story from someone who overcame bulimia | unedited,"LLM finds violation, rules miss it",True,1,0.8,Controversial Issues,GREEN,HIGH,"The content is a personal recovery story from an eating disorder (bulimia), which is explicitly listed as 'Eating disord",None,N/A
CNT-0234,New upload: Music video with backing track containing bleeped profanity,Both classifiers agree,False,0,0.0,Inappropriate Language,GREEN,HIGH,"The content is a music video featuring bleeped profanity, which falls under the 'obscured profanity' and 'most profanity",Inappropriate Language,GREEN
CNT-0103,PSA video about suicide prevention hotline and mental health resources,Both classifiers agree,False,0,0.0,Controversial Issues,GREEN,HIGH,"The video is a Public Service Announcement (PSA) focused on suicide prevention and providing mental health resources, wh",Controversial Issues,GREEN
CNT-0303,Full video: Content promoting anti-vaccination conspiracy theories as facts - fu,Both classifiers agree,False,0,0.0,Harmful Acts & Unreliable Content,RED,HIGH,"The content explicitly promotes anti-vaccination conspiracy theories as facts, which directly falls under the RED tier f",Harmful Acts & Unreliable Content,RED
CNT-0176,Full video: Mukbang video eating live octopus tentacles in theatrical manner (20,"LLM finds violation, rules miss it",True,3,2.4,Shocking Content,RED,HIGH,"The content describes a mukbang video where live octopus tentacles are eaten, which directly matches the RED tier criter",None,N/A
CNT-0188,Full video: Content promoting white supremacist ideology and symbols,"LLM finds violation, rules miss it",True,3,2.4,Hateful & Derogatory Content,RED,HIGH,"The content explicitly promotes white supremacist ideology and symbols, which directly aligns with the RED tier for prom",None,N/A
CNT-0248,Full video: Content claiming that cancer can be cured through diet alone - full ,"LLM finds violation, rules miss it",True,3,2.4,Harmful Acts & Unreliable Content,RED,HIGH,"The content promotes dangerous medical misinformation by claiming cancer can be cured through diet alone, which denies e",None,N/A
CNT-0197,Viewer requested: Video titled 'F*ck This Product' with uncensored profanity (20,"LLM finds violation, rules miss it",True,3,2.4,Inappropriate Language,RED,HIGH,"The video title contains strong profanity ('F*ck'), which is explicitly classified as RED tier for Inappropriate Languag",None,N/A
CNT-0435,New upload: Video promoting essay writing services for university assignments (2,Both classifiers agree,False,0,0.0,Enabling Dishonest Behavior,RED,HIGH,"The content explicitly promotes academic essay writing services for university assignments, which is listed as a RED tie",Enabling Dishonest Behavior,RED
CNT-0001,New upload: Comedy sketch where host says 'what the hell' and 'damn' throughout,Both classifiers agree,False,0,0.0,Inappropriate Language,GREEN,HIGH,"The content uses mild profanity like 'hell' and 'damn' throughout a comedy sketch, which falls under the GREEN tier for ",Inappropriate Language,GREEN
CNT-0172,Content claiming a school shooting was staged with crisis actors #trending,"LLM finds violation, rules miss it",True,3,2.4,Harmful Acts & Unreliable Content,RED,HIGH,"The content promotes severe misinformation by claiming a school shooting was staged with crisis actors, which is compara",None,N/A
CNT-0012,Video containing racial slurs used casually in conversation | unedited,Both classifiers agree,False,0,0.0,Inappropriate Language,RED,HIGH,"The content contains racial slurs used casually, which falls under extreme profanity and hateful language, placing it in",Inappropriate Language,RED
CNT-0112,Full video: First person account describing child abuse in graphic sexual detail,"LLM finds violation, rules miss it",True,3,2.4,Violence,RED,HIGH,"The content describes child abuse in graphic detail, which falls under the 'violence targeting minors' criterion in the ",None,N/A
CNT-0432,Extended cut: Political debate using offensive language about ethnic minorities ,"LLM finds violation, rules miss it",True,3,2.4,Hateful & Derogatory Content,RED,HIGH,"The content explicitly describes 'offensive language about ethnic minorities,' which directly aligns with statements dis",None,N/A
CNT-0183,Video titled 'how to end your life with dignity' with instructions,"LLM finds violation, rules miss it",True,3,2.4,Controversial Issues,RED,HIGH,"The content explicitly promotes and provides instructions for suicide, which falls under the RED tier for 'Promotion of ",None,N/A
CNT-0326,New upload: Video showing how to break into houses using lockpicking tools,"LLM finds violation, rules miss it",True,3,2.4,Harmful Acts & Unreliable Content,RED,HIGH,"The content shows how to break into houses, which is an illegal and dangerous act, thus glorifying dangerous acts and po",None,N/A
CNT-0289,Full video: Kids channel video showing realistic toy guns being fired,"LLM finds violation, rules miss it",True,3,2.4,Inappropriate Content for Kids,RED,HIGH,"The content explicitly describes a 'Kids channel video showing realistic toy guns being fired,' which directly matches t",None,N/A
CNT-0417,Reupload of Educational video about the history of the civil rights movement #tr,Both classifiers agree,False,0,0.0,None,N/A,N/A,,None,N/A
CNT-0477,Content glorifying a drug cartel leader and their lifestyle | unedited,"LLM finds violation, rules miss it",True,3,2.4,Recreational Drugs,RED,HIGH,"The content explicitly glorifies a drug cartel leader and their lifestyle, which directly promotes drug trafficking orga",None,N/A
CNT-0411,Full video: Video claiming COVID-19 vaccines contain microchips - viewer discret,"LLM finds violation, rules miss it",True,3,2.4,Harmful Acts & Unreliable Content,RED,HIGH,"The content promotes misinformation about COVID-19 vaccines by claiming they contain microchips, which falls under the '",None,N/A
CNT-0002,Part 2: Music video with backing track containing bleeped profanity (2024),Both classifiers agree,False,0,0.0,Inappropriate Language,GREEN,HIGH,"The content description explicitly states 'bleeped profanity', which is classified as obscured profanity and falls under",Inappropriate Language,GREEN
CNT-0023,Full video: Gaming video with graphic beheading scene in the thumbnail - viewer ,"LLM finds violation, rules miss it",True,2,1.6,Violence,YELLOW,HIGH,"The content features a graphic beheading scene from a gaming video prominently displayed in the thumbnail, which directl",None,N/A
CNT-0449,Romantic comedy scene with characters kissing passionately - full version,Both classifiers agree,False,0,0.0,Adult Content,GREEN,HIGH,"The content describes a romantic comedy scene with passionate kissing, which falls under the 'Romance or kissing' exampl",Adult Content,GREEN
CNT-0207,Full video: First person account describing child abuse in graphic sexual detail,"LLM finds violation, rules miss it",True,3,2.4,Violence,RED,HIGH,"The content describes child abuse in graphic sexual detail, which falls under ultra graphic violent acts and violence ta",None,N/A
CNT-0052,Part 2: Pimple popping compilation by a medical professional with explanations,"LLM finds violation, rules miss it",True,1,0.8,Shocking Content,GREEN,HIGH,"The content describes a medical procedure (pimple popping) presented by a medical professional with explanations, which ",None,N/A
CNT-0028,New upload: Video showing graphic dead bodies with exposed wounds no context - v,Both classifiers agree,False,0,0.0,Violence,RED,HIGH,"The content explicitly describes 'graphic dead bodies with exposed wounds no context,' which directly matches the RED ti",Violence,RED
CNT-0120,Part 2: Ethical hacking tutorial explaining penetration testing methodology #tre,Both classifiers agree,False,0,0.0,Enabling Dishonest Behavior,GREEN,HIGH,"The content describes an 'ethical hacking tutorial explaining penetration testing methodology,' which is explicitly list",Enabling Dishonest Behavior,GREEN
CNT-0309,New upload: Vlog intro music containing the word 'damn' in lyrics - full version,Both classifiers agree,False,0,0.0,Inappropriate Language,GREEN,HIGH,"The content description explicitly states the use of the word 'damn' in the lyrics, which is categorized as moderate pro",Inappropriate Language,GREEN
CNT-0123,Viewer requested: Tutorial on how to install spyware on someone's phone secretly,"LLM finds violation, rules miss it",True,3,2.4,Enabling Dishonest Behavior,RED,HIGH,"The content provides a tutorial on how to secretly install spyware, which constitutes teaching unauthorized access and h",None,N/A
CNT-0443,New upload: Music video featuring choreographed hip-hop dancing in a studio #tre,Both classifiers agree,False,0,0.0,None,N/A,N/A,,None,N/A
CNT-0235,Reupload of Thumbnail showing graphic image of self-harm scars for awareness vid,"LLM finds violation, rules miss it",True,3,2.4,Controversial Issues,RED,HIGH,"The thumbnail displays a graphic image of self-harm scars, which directly aligns with the RED tier's 'Graphic self-harm ",None,N/A
CNT-0200,Reupload of Thumbnail with text overlay reading 'BULL***T' | unedited,"LLM finds violation, rules miss it",True,2,1.6,Inappropriate Language,YELLOW,HIGH,"The thumbnail contains moderate profanity ('BULL***T'), which falls under the yellow tier for profanity in titles or thu",None,N/A
CNT-0335,Reupload of Documentary showing a child being verbally abused by parent,"LLM finds violation, rules miss it",True,3,2.4,Controversial Issues,RED,HIGH,"The content explicitly shows a child being verbally abused, which falls under descriptive child abuse content, a highly ",None,N/A
CNT-0458,New upload: Video harassing and intimidating a small business owner repeatedly |,"LLM finds violation, rules miss it",True,3,2.4,Hateful & Derogatory Content,RED,HIGH,"The video depicts repeated harassment and intimidation of an individual, which constitutes 'Hate or harassment towards i",None,N/A
CNT-0008,Reupload of Rap music video titled 'That Sh*t Hits Different' (2024),"LLM finds violation, rules miss it",True,2,1.6,Inappropriate Language,YELLOW,HIGH,"The title of the rap music video contains moderate profanity ('Sh*t'), which is explicitly categorized under the YELLOW ",None,N/A
CNT-0478,Reupload of Video making false claims about election fraud to undermine voting,"LLM finds violation, rules miss it",True,3,2.4,Harmful Acts & Unreliable Content,RED,HIGH,"The content makes false claims about election fraud to undermine voting, which falls under the RED tier for promoting el",None,N/A
CNT-0144,Trending: Video debunking common health misinformation myths | unedited,"LLM finds violation, rules miss it",True,1,0.8,Harmful Acts & Unreliable Content,GREEN,HIGH,"The content explicitly states it is 'debunking common health misinformation myths,' which aligns with the GREEN tier for",None,N/A
CNT-0185,Classical art painting showing discernible sexual acts in thumbnail,"Same policy, different severity tier",True,1,0.9,Adult Content,YELLOW,HIGH,"The content explicitly describes classical art showing discernible sexual acts in the thumbnail, which directly aligns w",Adult Content,RED
CNT-0246,Part 2: Parkour video on top of skyscrapers without safety equipment | unedited,"LLM finds violation, rules miss it",True,3,2.4,Enabling Dishonest Behavior,RED,HIGH,"Performing parkour on top of skyscrapers without permission strongly implies trespassing, which falls under content prom",None,N/A
CNT-0072,Viewer requested: News report covering discrimination against a religious minori,"LLM finds violation, rules miss it",True,1,0.8,Hateful & Derogatory Content,GREEN,HIGH,"The content is a news report covering discrimination against a religious minority, which aligns with the GREEN tier for ",None,N/A
CNT-0256,Extended cut: Video titled 'This is absolute shit' reviewing a bad product | une,"LLM finds violation, rules miss it",True,2,1.6,Inappropriate Language,YELLOW,HIGH,"The content title 'This is absolute shit' contains moderate profanity ('shit') in the title, which falls under the YELLO",None,N/A
CNT-0368,Part 2: Animated educational video teaching kids about stranger danger #trending,Both classifiers agree,False,0,0.0,None,N/A,N/A,,None,N/A
CNT-0106,Reupload of Brief mention 'next week we discuss declining suicide rates' in outr,"LLM finds violation, rules miss it",True,1,0.8,Controversial Issues,GREEN,HIGH,"The content briefly mentions discussing 'declining suicide rates' in the outro, which falls under non-graphic discussion",None,N/A
CNT-0402,Brief mention 'next week we discuss declining suicide rates' in outro - full ver,"LLM finds violation, rules miss it",True,1,0.8,Controversial Issues,GREEN,HIGH,"The content includes a brief, non-graphic mention of 'declining suicide rates' in the outro, which falls under fleeting ",None,N/A
CNT-0342,Video featuring sex toys being demonstrated and reviewed,Both classifiers agree,False,0,0.0,Adult Content,RED,HIGH,"The content explicitly features 'sex toys or devices' being demonstrated and reviewed, which is listed under the RED tie",Adult Content,RED
CNT-0007,Thumbnail with text overlay reading 'BULL***T',"LLM finds violation, rules miss it",True,2,1.6,Inappropriate Language,YELLOW,HIGH,"The thumbnail contains moderate profanity ('BULL***T'), which is explicitly categorized under the YELLOW tier for Inappr",None,N/A
CNT-0139,Viewer requested: Video promoting a new line of flavored vape pens and e-liquids,Both classifiers agree,False,0,0.0,Tobacco-Related Content,YELLOW,HIGH,"The content explicitly promotes a new line of flavored vape pens and e-liquids, which directly falls under the 'Content ",Tobacco-Related Content,YELLOW
CNT-0242,Viewer requested: Influencer promoting herbal cigarettes as a healthy alternativ,Different policies detected entirely,True,3,3.6,Harmful Acts & Unreliable Content,RED,HIGH,"Promoting herbal cigarettes as a 'healthy alternative' constitutes health misinformation that can lead to physical harm,",Tobacco-Related Content,YELLOW
CNT-0389,Content selling merchandise themed around a recent terrorist attack (2024),"LLM finds violation, rules miss it",True,3,2.4,Sensitive Events,RED,HIGH,"The content is selling merchandise themed around a recent terrorist attack, which directly falls under the 'Selling prod",None,N/A
CNT-0164,Viewer requested: Political debate using offensive language about ethnic minorit,"LLM finds violation, rules miss it",True,3,2.4,Inappropriate Language,RED,HIGH,"The content description explicitly states 'offensive language about ethnic minorities,' which strongly suggests the use ",None,N/A
CNT-0410,New upload: Educational video about STDs using animated depictions of sex | uned,"LLM finds violation, rules miss it",True,2,1.6,Adult Content,YELLOW,HIGH,"The content is an educational video about STDs that includes animated depictions of sex, which falls under the 'non-arou",None,N/A
CNT-0110,New upload: Video titled 'how to end your life with dignity' with instructions (,"LLM finds violation, rules miss it",True,3,2.4,Controversial Issues,RED,HIGH,"The video explicitly provides instructions on 'how to end your life,' which directly promotes self-harm and suicide, a c",None,N/A
CNT-0282,Video showing graphic dead bodies with exposed wounds no context - full version,Both classifiers agree,False,0,0.0,Violence,RED,HIGH,"The content explicitly describes 'graphic dead bodies with exposed wounds no context', which directly aligns with the RE",Violence,RED
CNT-0102,Trending: Video showing a 12-year-old child firing a rifle without adult present,"LLM finds violation, rules miss it",True,3,2.4,Harmful Acts & Unreliable Content,RED,HIGH,"The content depicts a 12-year-old child engaging in a highly dangerous act (firing a rifle) without adult supervision, w",None,N/A
CNT-0150,Trending: Guide on creating fake government identification documents (2024),"LLM finds violation, rules miss it",True,3,2.4,Enabling Dishonest Behavior,RED,HIGH,"The content provides a guide on creating fake government identification documents, which directly falls under the 'Fake ",None,N/A
CNT-0060,Part 2: Ice bucket challenge video with friends laughing #trending,"Rules find violation, LLM misses it",True,1,1.0,None,N/A,N/A,,Harmful Acts & Unreliable Content,GREEN
CNT-0128,Extended cut: Family-friendly cooking tutorial for kids making cupcakes | unedit,Both classifiers agree,False,0,0.0,None,N/A,N/A,,None,N/A
CNT-0454,Trending: News report mentioning a local homicide without graphic descriptions,"LLM finds violation, rules miss it",True,1,0.8,Violence,GREEN,HIGH,"The content is a news report about a homicide, but explicitly states it is 'without graphic descriptions,' aligning with",None,N/A
CNT-0471,Viewer requested: Street fight compilation with visible injuries in educational ,"LLM finds violation, rules miss it",True,3,2.4,Inappropriate Content for Kids,RED,HIGH,Content depicting street fights with visible injuries is highly inappropriate and potentially harmful for a child audien,None,N/A
CNT-0124,Viewer requested: Video promoting essay writing services for university assignme,Both classifiers agree,False,0,0.0,Enabling Dishonest Behavior,RED,HIGH,"The content explicitly promotes academic essay writing services for university assignments, which is a direct example of",Enabling Dishonest Behavior,RED
CNT-0061,Extended cut: Video debunking common health misinformation myths - viewer discre,"LLM finds violation, rules miss it",True,2,1.6,Shocking Content,YELLOW,MEDIUM,The 'viewer discretion advised' warning suggests the content may contain graphic or disturbing imagery related to health,None,N/A
CNT-0251,Reupload of Educational video about STDs using animated depictions of sex,"LLM finds violation, rules miss it",True,2,1.6,Adult Content,YELLOW,HIGH,"The content is an educational video about STDs, but it includes animated depictions of sex, which falls under the 'non-a",None,N/A
CNT-0098,New upload: BB gun battle without protective gear in public park,"LLM finds violation, rules miss it",True,2,1.6,Harmful Acts & Unreliable Content,YELLOW,HIGH,"The content describes a BB gun battle without protective gear, which constitutes a high-risk activity that can cause phy",None,N/A
CNT-0069,Extended cut: Prank involving fake bomb scare in a crowded public place - viewer,"LLM finds violation, rules miss it",True,3,2.4,Harmful Acts & Unreliable Content,RED,HIGH,"The content describes a prank involving a fake bomb scare in a public place, which directly falls under 'Pranks involvin",None,N/A
CNT-0030,Full video: Gameplay where player aggregates NPCs for mass killing compilation -,"Same policy, different severity tier",True,1,0.9,Violence,YELLOW,HIGH,"The content describes a 'mass killing compilation' from gameplay, which indicates a deliberate focus on graphic and seve",Violence,RED
CNT-0058,Reupload of Professional wingsuit flying over mountains filmed with drone #trend,"LLM finds violation, rules miss it",True,1,0.8,Harmful Acts & Unreliable Content,GREEN,HIGH,"The content describes professional wingsuit flying, which is a dangerous act performed in a controlled, professional env",None,N/A
CNT-0414,Viewer requested: Video inciting viewers to commit violence against disabled peo,"LLM finds violation, rules miss it",True,3,2.4,Violence,RED,HIGH,"The content explicitly incites viewers to commit violence, which falls under the 'incitement or glorification of violenc",None,N/A
CNT-0464,Extended cut: Video stating all people of a certain nationality are inferior,"LLM finds violation, rules miss it",True,3,2.4,Hateful & Derogatory Content,RED,HIGH,"The content explicitly states that an entire nationality is inferior, which directly falls under statements disparaging ",None,N/A
CNT-0240,Viewer requested: Video inciting viewers to commit violence against disabled peo,"LLM finds violation, rules miss it",True,3,2.4,Violence,RED,HIGH,"The content description explicitly states the video is 'inciting viewers to commit violence,' which is a clear RED tier ",None,N/A
CNT-0428,Viewer requested: Video challenging viewers to drink bleach for supposed health ,"LLM finds violation, rules miss it",True,3,2.4,Harmful Acts & Unreliable Content,RED,HIGH,"The content challenges viewers to drink bleach for supposed health benefits, which constitutes promoting dangerous acts,",None,N/A
CNT-0353,Viewer requested: Educational video about the history of the civil rights moveme,"LLM finds violation, rules miss it",True,1,0.8,Hateful & Derogatory Content,GREEN,HIGH,An educational video about the civil rights movement would discuss issues of discrimination and hate in a non-hateful ma,None,N/A
CNT-0178,Review comparing different vaping juice flavors and nicotine levels,"LLM finds violation, rules miss it",True,2,1.6,Harmful Acts & Unreliable Content,YELLOW,HIGH,"The content involves a review of tobacco products (vaping juice), which is explicitly listed under the YELLOW tier for '",None,N/A
CNT-0302,Full video: Close-up video of extreme surgical procedure with exposed organs no ,"LLM finds violation, rules miss it",True,3,2.4,Shocking Content,RED,HIGH,"The content describes an 'extreme surgical procedure with exposed organs no context,' which aligns with highly shocking,",None,N/A
CNT-0006,Extended cut: Video titled 'This is absolute shit' reviewing a bad product,"LLM finds violation, rules miss it",True,2,1.6,Inappropriate Language,YELLOW,HIGH,"The video title 'This is absolute shit' contains moderate profanity ('shit') in a prominent placement, which falls under",None,N/A
CNT-0388,Viewer requested: Video promoting essay writing services for university assignme,Both classifiers agree,False,0,0.0,Enabling Dishonest Behavior,RED,HIGH,"The content explicitly promotes academic essay writing services for university assignments, which is a direct example of",Enabling Dishonest Behavior,RED
CNT-0132,Extended cut: Kids challenge video encouraging eating non-edible craft supplies ,"Same policy, different severity tier",True,1,0.9,Harmful Acts & Unreliable Content,RED,HIGH,"The content encourages children to participate in a challenge involving eating non-edible substances, which can cause cr",Harmful Acts & Unreliable Content,YELLOW
CNT-0187,Trending: Content showing close-up of fresh self-harm cuts with visible blood,"LLM finds violation, rules miss it",True,3,2.4,Shocking Content,RED,HIGH,"The content describes 'close-up of fresh self-harm cuts with visible blood,' which constitutes highly shocking, gruesome",None,N/A
CNT-0231,Viewer requested: Self-defense tutorial demonstrating basic blocking techniques ,"LLM finds violation, rules miss it",True,1,0.8,Violence,GREEN,HIGH,"The content is a self-defense tutorial demonstrating basic, non-graphic blocking techniques, which is considered educati",None,N/A
CNT-0089,Trending: Video reviewing different strains of cannabis and rating their effects,"LLM finds violation, rules miss it",True,3,2.4,Recreational Drugs,RED,HIGH,"The content explicitly describes reviewing different strains of cannabis and rating their effects, which falls under 'Dr",None,N/A
CNT-0434,Reupload of Video stating all people of a certain nationality are inferior | une,"LLM finds violation, rules miss it",True,3,2.4,Hateful & Derogatory Content,RED,HIGH,"The content explicitly states that an entire nationality is inferior, which constitutes hate or harassment towards a pro",None,N/A
CNT-0483,Reupload of Mukbang video eating live octopus tentacles in theatrical manner,"LLM finds violation, rules miss it",True,3,2.4,Shocking Content,RED,HIGH,"The content explicitly describes 'eating live octopus tentacles in theatrical manner,' which directly falls under the 'E",None,N/A
CNT-0499,Extended cut: PSA video about suicide prevention hotline and mental health resou,Both classifiers agree,False,0,0.0,Controversial Issues,GREEN,HIGH,"The content is a PSA about suicide prevention and mental health resources, which falls under 'Content related to prevent",Controversial Issues,GREEN
CNT-0399,Extended cut: Content reviewing and comparing different cigar brands favorably |,"LLM finds violation, rules miss it",True,2,1.6,Harmful Acts & Unreliable Content,YELLOW,HIGH,"The content involves reviewing tobacco products, which is explicitly listed under the yellow tier for harmful acts.",None,N/A
CNT-0077,Part 2: Political debate using offensive language about ethnic minorities,"LLM finds violation, rules miss it",True,3,2.4,Hateful & Derogatory Content,RED,HIGH,"The content explicitly describes a political debate using 'offensive language about ethnic minorities,' which directly f",None,N/A
CNT-0201,Part 2: Music video with rapper shown briefly near a bag of white powder,"LLM finds violation, rules miss it",True,1,0.8,Recreational Drugs,GREEN,HIGH,"The content describes a music video with a rapper briefly shown near a bag of white powder, which aligns with the 'Music",None,N/A
CNT-0138,Trending: Video harassing and intimidating a small business owner repeatedly - f,"LLM finds violation, rules miss it",True,2,1.6,Incendiary & Demeaning,YELLOW,HIGH,"The content explicitly describes a video 'harassing and intimidating a small business owner repeatedly,' which directly ",None,N/A
CNT-0413,Music video with rapper shown briefly near a bag of white powder | unedited,"LLM finds violation, rules miss it",True,1,0.8,Recreational Drugs,GREEN,HIGH,The content is a music video that includes a brief depiction of a rapper near what appears to be illegal drugs ('white p,None,N/A
CNT-0351,New upload: Discussion video about navigating relationships and dating,Both classifiers agree,False,0,0.0,None,N/A,N/A,,None,N/A
CNT-0470,Extended cut: Educational video about STDs using animated depictions of sex #tre,"LLM finds violation, rules miss it",True,2,1.6,Adult Content,YELLOW,HIGH,"The content is an educational video about STDs that includes animated depictions of sex, which falls under the 'non-arou",None,N/A
CNT-0133,Full video: Content disguised as kids cartoon but containing sexual innuendos,"LLM finds violation, rules miss it",True,3,2.4,Inappropriate Content for Kids,RED,HIGH,"The content is explicitly described as 'Adult themes disguised as kids content' due to sexual innuendos, which is a dire",None,N/A
CNT-0068,Trending: Video claiming COVID-19 vaccines contain microchips,"LLM finds violation, rules miss it",True,3,2.4,Harmful Acts & Unreliable Content,RED,HIGH,"The content promotes misinformation by claiming COVID-19 vaccines contain microchips, which is explicitly categorized as",None,N/A
CNT-0275,Thumbnail displaying the f-word prominently in large text (2024),"LLM finds violation, rules miss it",True,3,2.4,Inappropriate Language,RED,HIGH,"The thumbnail prominently displays the f-word, which is classified as stronger profanity in the RED tier for Inappropria",None,N/A
CNT-0107,Part 2: Documentary showing a child being verbally abused by parent | unedited,"LLM finds violation, rules miss it",True,3,2.4,Shocking Content,RED,HIGH,"The unedited depiction of a child being verbally abused by a parent is highly shocking and distressing, fitting the crit",None,N/A
CNT-0070,New upload: Content claiming that cancer can be cured through diet alone | unedi,"LLM finds violation, rules miss it",True,3,2.4,Harmful Acts & Unreliable Content,RED,HIGH,"The content promotes dangerous medical misinformation by claiming cancer can be cured through diet alone, which can lead",None,N/A
CNT-0126,New upload: Video showing how to break into houses using lockpicking tools,"LLM finds violation, rules miss it",True,3,2.4,Harmful Acts & Unreliable Content,RED,HIGH,"The content shows how to break into houses, which is an illegal and dangerous act, thus glorifying or enabling harmful a",None,N/A
CNT-0216,Extended cut: Video singling out a specific person for targeted harassment campa,Both classifiers agree,False,0,0.0,Hateful & Derogatory Content,RED,HIGH,"The content explicitly describes a 'targeted harassment campaign' against a 'specific person,' which directly aligns wit",Hateful & Derogatory Content,RED
CNT-0013,Reupload of Content repeatedly using homophobic slurs as insults | unedited,Both classifiers agree,False,0,0.0,Inappropriate Language,RED,HIGH,"The content repeatedly uses homophobic slurs as insults, which is classified as extreme profanity and hateful language.",Inappropriate Language,RED
CNT-0359,Reupload of Raw footage of soldiers firing weapons in a conflict zone #trending,"LLM finds violation, rules miss it",True,3,2.4,Sensitive Events,RED,HIGH,"A 'conflict zone' is a sensitive event, and the use of '#trending' indicates an attempt to use sensitive event keywords ",None,N/A
